,Avg Degree,Cluster,Connected components,Avg shortest path,assortativity
0,6.052631578947368,0.05790573983947525,1.0,3.378530191917616,0.2922883421497064
1,9.959919839679358,0.06612086377728567,1.0,2.8474056546828597,0.2683530725184191
2,19.84,0.11515061531543905,1.0,2.33986372745491,0.2380476368941371
3,6.139630390143737,0.04619222238215005,1.0,3.3353698211101817,0.09401302743263878
4,10.0,0.07510380506132211,1.0,2.8022246381514897,0.13274327491174537
5,19.84,0.1046691388783717,1.0,2.350693386773547,0.12694580036352654
6,6.139630390143737,0.05042761300191378,2.0,2.145446025389793,0.07165869207109303
7,10.0,0.0816408786351449,1.0,2.7364022846757967,0.037744335103699476
8,19.84,0.10352912778684199,1.0,2.3490180360721444,0.043645779875325995
9,6.089613034623218,0.05928494014455731,2.0,2.1487730061349692,0.055287510326398163
10,9.97991967871486,0.06788551274545668,1.0,2.829733420603945,0.007144741011115886
11,19.84,0.11222573429396968,1.0,2.328424849699399,0.02119451364624359
12,6.052631578947368,0.11663007744413376,3.0,1.8617726027016124,0.6264614468600915
13,9.94,0.14908926050300966,1.0,3.006444889779559,0.6452287211250679
14,19.84,0.22016154194723886,1.0,2.475759519038076,0.6340613393027014
15,6.127049180327869,0.07704859583654852,1.0,3.4440956676877503,0.502827089304266
16,9.97991967871486,0.10219039525786475,1.0,2.8848270344961335,0.537937266780056
17,19.84,0.14180471286991397,1.0,2.40137875751503,0.4539932275732746
18,6.064908722109534,0.07436019706853386,2.0,0.0,0.39496559284222205
19,9.959919839679358,0.08445403431653965,1.0,2.8664155620477905,0.4145538483163355
20,19.84,0.1249554152906907,1.0,2.3718396793587173,0.36907591236658527
21,6.127049180327869,0.060375056677525886,1.0,3.3383966741845357,0.312636967629649
22,9.94,0.07620223148609778,1.0,2.845050100200401,0.3298503851696918
23,19.84,0.11146884064243602,1.0,2.3684008016032063,0.29141905484418995
24,6.152263374485597,0.16084394683733028,3.0,1.9413968708574518,0.7830583142560351
25,9.97991967871486,0.21395687752402837,1.0,3.174048305899655,0.7898984674495638
26,19.84,0.2800884083123169,1.0,2.5639038076152305,0.7325732281288126
27,6.190476190476191,0.10560995984790351,1.0,3.622355093940878,0.6350645908783035
28,10.0,0.15089209674838153,1.0,2.943661971830986,0.5989442029973933
29,19.84,0.19719378311925936,1.0,2.4656032064128257,0.5981894584900809
30,6.052631578947368,0.08608605805780556,1.0,3.5076085439061844,0.5986428196201534
31,9.97991967871486,0.11950213362506022,1.0,2.8874855559057155,0.48899398518309506
32,19.84,0.16457775983070685,1.0,2.4147254509018037,0.49020521056068883
33,6.190476190476191,0.08328939742758187,1.0,3.3669922596496655,0.4584314090346609
34,9.959919839679358,0.10450887892438619,1.0,2.821755961722642,0.4531390834911003
35,19.84,0.13885037396703104,1.0,2.402316633266533,0.4791410160206662
36,6.089613034623218,0.05971439158802694,1.0,3.3302132258198593,0.26452129295228255
37,10.02016129032258,0.07752633616509898,1.0,2.845584881068752,0.28236834929776217
38,19.84,0.11942757085085363,1.0,2.351567134268537,0.21955752382065383
